"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","39","makeATestBroken()","","2026-07-10","broken","2026-07-10","","com.example.Selenium.tests.OrderTestIT","com.example.Selenium.tests.OrderTestIT","makeATestBroken"
"","77","flywaySeedingReferenceDataButNoPerTestOrders()","","2026-07-10","passed","2026-07-10","","com.example.Selenium.tests.OrderTestIT","com.example.Selenium.tests.OrderTestIT","flywaySeedingReferenceDataButNoPerTestOrders"
"","153","resetMakesTestOrderIndependent()","","2026-07-10","passed","2026-07-10","","com.example.Selenium.tests.OrderTestIT","com.example.Selenium.tests.OrderTestIT","resetMakesTestOrderIndependent"
"","133","persistedBuilderDataAgainstIsolatedMysql()","","2026-07-10","failed","2026-07-10","","com.example.Selenium.tests.OrderTestIT","com.example.Selenium.tests.OrderTestIT","persistedBuilderDataAgainstIsolatedMysql"
"","86","countsOnlyPersistedTestOrders()","","2026-07-10","passed","2026-07-10","","com.example.Selenium.tests.OrderTestIT","com.example.Selenium.tests.OrderTestIT","countsOnlyPersistedTestOrders"
